LC,total_area,caribou_density,season,pft,year,weighted_area
Evergreen forest,225286200,Low,autumn,Deciduous shrubs,weighted_area_end,49749165
Evergreen forest,225286200,Low,autumn,Evergreen shrubs,weighted_area_start,25681032
Evergreen forest,225286200,Low,autumn,Evergreen shrubs,weighted_area_end,25439265
Evergreen forest,225286200,Low,autumn,Forbs,weighted_area_start,535176
Evergreen forest,225286200,Low,autumn,Forbs,weighted_area_end,604683
Evergreen forest,225286200,Low,autumn,Alder,weighted_area_start,7467723
Evergreen forest,225286200,Low,autumn,Alder,weighted_area_end,10415988
Evergreen forest,225286200,Low,autumn,Birch,weighted_area_start,17544114
Evergreen forest,225286200,Low,autumn,Birch,weighted_area_end,18748548
Evergreen forest,225286200,Low,autumn,Graminoids,weighted_area_start,669249
Evergreen forest,225286200,Low,autumn,Graminoids,weighted_area_end,588330
Evergreen forest,225286200,Low,autumn,Willow,weighted_area_start,11864538
Evergreen forest,225286200,Low,autumn,Willow,weighted_area_end,11485710
Evergreen forest,225286200,Low,autumn,Lichens,weighted_area_start,32841855
Evergreen forest,225286200,Low,autumn,Lichens,weighted_area_end,28098234
Deciduous forest,29700,Low,autumn,Deciduous shrubs,weighted_area_start,11844
Deciduous forest,29700,Low,autumn,Deciduous shrubs,weighted_area_end,11529
Deciduous forest,29700,Low,autumn,Evergreen shrubs,weighted_area_start,4230
Deciduous forest,29700,Low,autumn,Evergreen shrubs,weighted_area_end,3717
Deciduous forest,29700,Low,autumn,Forbs,weighted_area_start,81
Deciduous forest,29700,Low,autumn,Forbs,weighted_area_end,36
Deciduous forest,29700,Low,autumn,Alder,weighted_area_start,1485
Deciduous forest,29700,Low,autumn,Alder,weighted_area_end,2214
Deciduous forest,29700,Low,autumn,Birch,weighted_area_start,4995
Deciduous forest,29700,Low,autumn,Birch,weighted_area_end,5436
Deciduous forest,29700,Low,autumn,Graminoids,weighted_area_start,207
Deciduous forest,29700,Low,autumn,Graminoids,weighted_area_end,45
Deciduous forest,29700,Low,autumn,Willow,weighted_area_start,2259
Deciduous forest,29700,Low,autumn,Willow,weighted_area_end,1881
Deciduous forest,29700,Low,autumn,Lichens,weighted_area_start,1800
Deciduous forest,29700,Low,autumn,Lichens,weighted_area_end,1251
Mixed forest,7880400,Low,autumn,Deciduous shrubs,weighted_area_start,3473847
Mixed forest,7880400,Low,autumn,Deciduous shrubs,weighted_area_end,3617658
Mixed forest,7880400,Low,autumn,Evergreen shrubs,weighted_area_start,1141632
Mixed forest,7880400,Low,autumn,Evergreen shrubs,weighted_area_end,1072404
Mixed forest,7880400,Low,autumn,Forbs,weighted_area_start,46260
Mixed forest,7880400,Low,autumn,Forbs,weighted_area_end,49347
Mixed forest,7880400,Low,autumn,Alder,weighted_area_start,497898
Mixed forest,7880400,Low,autumn,Alder,weighted_area_end,730197
Mixed forest,7880400,Low,autumn,Birch,weighted_area_start,1374021
Mixed forest,7880400,Low,autumn,Birch,weighted_area_end,1432512
Mixed forest,7880400,Low,autumn,Graminoids,weighted_area_start,303516
Mixed forest,7880400,Low,autumn,Graminoids,weighted_area_end,225252
Mixed forest,7880400,Low,autumn,Willow,weighted_area_start,661617
Mixed forest,7880400,Low,autumn,Willow,weighted_area_end,611604
Mixed forest,7880400,Low,autumn,Lichens,weighted_area_start,597195
Mixed forest,7880400,Low,autumn,Lichens,weighted_area_end,482292
Woodland,2223461700,Low,autumn,Deciduous shrubs,weighted_area_start,506449125
Woodland,2223461700,Low,autumn,Deciduous shrubs,weighted_area_end,550442196
Woodland,2223461700,Low,autumn,Evergreen shrubs,weighted_area_start,294944580
Woodland,2223461700,Low,autumn,Evergreen shrubs,weighted_area_end,294652323
Woodland,2223461700,Low,autumn,Forbs,weighted_area_start,3958236
Woodland,2223461700,Low,autumn,Forbs,weighted_area_end,4682790
Woodland,2223461700,Low,autumn,Alder,weighted_area_start,53587125
Woodland,2223461700,Low,autumn,Alder,weighted_area_end,79190352
Woodland,2223461700,Low,autumn,Birch,weighted_area_start,231793776
Woodland,2223461700,Low,autumn,Birch,weighted_area_end,245257893
Woodland,2223461700,Low,autumn,Graminoids,weighted_area_start,57587922
Woodland,2223461700,Low,autumn,Graminoids,weighted_area_end,47328696
Woodland,2223461700,Low,autumn,Willow,weighted_area_start,130293612
Woodland,2223461700,Low,autumn,Willow,weighted_area_end,126722115
Woodland,2223461700,Low,autumn,Lichens,weighted_area_start,321943653
Woodland,2223461700,Low,autumn,Lichens,weighted_area_end,279092223
Low shrub,786427200,Low,autumn,Deciduous shrubs,weighted_area_start,267640983
Low shrub,786427200,Low,autumn,Deciduous shrubs,weighted_area_end,279851211
Low shrub,786427200,Low,autumn,Evergreen shrubs,weighted_area_start,130442463
Low shrub,786427200,Low,autumn,Evergreen shrubs,weighted_area_end,130987917
Low shrub,786427200,Low,autumn,Forbs,weighted_area_start,2253348
Low shrub,786427200,Low,autumn,Forbs,weighted_area_end,3097017
Low shrub,786427200,Low,autumn,Alder,weighted_area_start,9702189
Low shrub,786427200,Low,autumn,Alder,weighted_area_end,17477370
Low shrub,786427200,Low,autumn,Birch,weighted_area_start,160515828
Low shrub,786427200,Low,autumn,Birch,weighted_area_end,168806646
Low shrub,786427200,Low,autumn,Graminoids,weighted_area_start,61497999
Low shrub,786427200,Low,autumn,Graminoids,weighted_area_end,51568047
Low shrub,786427200,Low,autumn,Willow,weighted_area_start,53873289
Low shrub,786427200,Low,autumn,Willow,weighted_area_end,51873012
Low shrub,786427200,Low,autumn,Lichens,weighted_area_start,75986064
Low shrub,786427200,Low,autumn,Lichens,weighted_area_end,69219144
Tall shrub,217595700,Low,autumn,Deciduous shrubs,weighted_area_start,101915163
Tall shrub,217595700,Low,autumn,Deciduous shrubs,weighted_area_end,106554699
Tall shrub,217595700,Low,autumn,Evergreen shrubs,weighted_area_start,30739329
Tall shrub,217595700,Low,autumn,Evergreen shrubs,weighted_area_end,30468762
Tall shrub,217595700,Low,autumn,Forbs,weighted_area_start,2077479
Tall shrub,217595700,Low,autumn,Forbs,weighted_area_end,2541870
Tall shrub,217595700,Low,autumn,Alder,weighted_area_start,3461220
Tall shrub,217595700,Low,autumn,Alder,weighted_area_end,7569963
Tall shrub,217595700,Low,autumn,Birch,weighted_area_start,53631594
Tall shrub,217595700,Low,autumn,Birch,weighted_area_end,56617380
Tall shrub,217595700,Low,autumn,Graminoids,weighted_area_start,19379736
Tall shrub,217595700,Low,autumn,Graminoids,weighted_area_end,14790897
Tall shrub,217595700,Low,autumn,Willow,weighted_area_start,24892965
Tall shrub,217595700,Low,autumn,Willow,weighted_area_end,23360085
Tall shrub,217595700,Low,autumn,Lichens,weighted_area_start,13009455
Tall shrub,217595700,Low,autumn,Lichens,weighted_area_end,10840185
Open shrubs,59040000,Low,autumn,Deciduous shrubs,weighted_area_start,14140845
Open shrubs,59040000,Low,autumn,Deciduous shrubs,weighted_area_end,15211602
Open shrubs,59040000,Low,autumn,Evergreen shrubs,weighted_area_start,11574639
Open shrubs,59040000,Low,autumn,Evergreen shrubs,weighted_area_end,11934297
Open shrubs,59040000,Low,autumn,Forbs,weighted_area_start,85077
Open shrubs,59040000,Low,autumn,Forbs,weighted_area_end,134370
Open shrubs,59040000,Low,autumn,Alder,weighted_area_start,290862
Open shrubs,59040000,Low,autumn,Alder,weighted_area_end,579339
Open shrubs,59040000,Low,autumn,Birch,weighted_area_start,8357040
Open shrubs,59040000,Low,autumn,Birch,weighted_area_end,8996589
Open shrubs,59040000,Low,autumn,Graminoids,weighted_area_start,5330205
Open shrubs,59040000,Low,autumn,Graminoids,weighted_area_end,5209362
Open shrubs,59040000,Low,autumn,Willow,weighted_area_start,2239947
Open shrubs,59040000,Low,autumn,Willow,weighted_area_end,2040696
Open shrubs,59040000,Low,autumn,Lichens,weighted_area_start,10272627
Open shrubs,59040000,Low,autumn,Lichens,weighted_area_end,9338841
Herbaceous,617976000,Low,autumn,Deciduous shrubs,weighted_area_start,178876017
Herbaceous,617976000,Low,autumn,Deciduous shrubs,weighted_area_end,199296333
Herbaceous,617976000,Low,autumn,Evergreen shrubs,weighted_area_start,115904952
Herbaceous,617976000,Low,autumn,Evergreen shrubs,weighted_area_end,117881055
Herbaceous,617976000,Low,autumn,Forbs,weighted_area_start,4107888
Herbaceous,617976000,Low,autumn,Forbs,weighted_area_end,4499964
Herbaceous,617976000,Low,autumn,Alder,weighted_area_start,3791808
Herbaceous,617976000,Low,autumn,Alder,weighted_area_end,10070775
Herbaceous,617976000,Low,autumn,Birch,weighted_area_start,92826090
Herbaceous,617976000,Low,autumn,Birch,weighted_area_end,103119975
Herbaceous,617976000,Low,autumn,Graminoids,weighted_area_start,88408305
Herbaceous,617976000,Low,autumn,Graminoids,weighted_area_end,80858853
Herbaceous,617976000,Low,autumn,Willow,weighted_area_start,48015558
Herbaceous,617976000,Low,autumn,Willow,weighted_area_end,45779895
Herbaceous,617976000,Low,autumn,Lichens,weighted_area_start,82349235
Herbaceous,617976000,Low,autumn,Lichens,weighted_area_end,74376891
Tussock tundra,523657800,Low,autumn,Deciduous shrubs,weighted_area_start,170074494
Tussock tundra,523657800,Low,autumn,Deciduous shrubs,weighted_area_end,186283872
Tussock tundra,523657800,Low,autumn,Evergreen shrubs,weighted_area_start,99309186
Tussock tundra,523657800,Low,autumn,Evergreen shrubs,weighted_area_end,101859876
Tussock tundra,523657800,Low,autumn,Forbs,weighted_area_start,1235340
Tussock tundra,523657800,Low,autumn,Forbs,weighted_area_end,1810161
Tussock tundra,523657800,Low,autumn,Alder,weighted_area_start,2640276
Tussock tundra,523657800,Low,autumn,Alder,weighted_area_end,6869025
Tussock tundra,523657800,Low,autumn,Birch,weighted_area_start,111535614
Tussock tundra,523657800,Low,autumn,Birch,weighted_area_end,121335777
Tussock tundra,523657800,Low,autumn,Graminoids,weighted_area_start,72488970
Tussock tundra,523657800,Low,autumn,Graminoids,weighted_area_end,63567891
Tussock tundra,523657800,Low,autumn,Willow,weighted_area_start,33134868
Tussock tundra,523657800,Low,autumn,Willow,weighted_area_end,29963259
Tussock tundra,523657800,Low,autumn,Lichens,weighted_area_start,59464512
Tussock tundra,523657800,Low,autumn,Lichens,weighted_area_end,52864479
Sparsely vegetated,539259300,Low,autumn,Deciduous shrubs,weighted_area_start,47041407
