LC,caribou_density,season,sens_slope_allDecShrub_count,sens_slope_allDecShrub_mean,sens_slope_allDecShrub_variance,sens_slope_allEvShrub_count,sens_slope_allEvShrub_mean,sens_slope_allEvShrub_variance,sens_slope_allForb_count,sens_slope_allForb_mean,sens_slope_allForb_variance,sens_slope_alnshr_count,sens_slope_alnshr_mean,sens_slope_alnshr_variance,sens_slope_betshr_count,sens_slope_betshr_mean,sens_slope_betshr_variance,sens_slope_graminoid_count,sens_slope_graminoid_mean,sens_slope_graminoid_variance,sens_slope_salshr_count,sens_slope_salshr_mean,sens_slope_salshr_variance,sens_slope_tmlichen_count,sens_slope_tmlichen_mean,sens_slope_tmlichen_variance
LC4,2,autumn,2470513,0.061560922,0.018458723,2470513,-0.001129982,0.00218764,2470513,2.43E-04,3.96E-04,2470513,0.031597406,0.004785311,2470513,0.020452762,0.01395985,2470513,-0.012118457,0.004851771,2470513,-0.003960831,0.001517337,2470513,-0.062951118,0.015171375
LC5,2,autumn,873808,0.05304574,0.037604236,873808,0.001878672,0.008613935,873808,0.001611492,6.90E-04,873808,0.022874631,0.00453161,873808,0.03822123,0.038068982,873808,-0.037427586,0.012748219,873808,-0.006628302,0.005138919,873808,-0.023960139,0.008400284
LC6,2,autumn,241773,0.074378177,0.047425716,241773,-0.005032608,0.009202474,241773,0.003503785,0.001317638,241773,0.047174076,0.01307725,241773,0.051876701,0.049262185,241773,-0.065066147,0.014469277,241773,-0.021084372,0.011226002,241773,-0.027197018,0.00501071
LC7,2,autumn,65600,0.058871654,0.025737973,65600,0.018574942,0.009036248,65600,8.10E-04,4.73E-04,65600,0.011982825,0.002396651,65600,0.037445058,0.018882227,65600,-0.004741604,0.010088821,65600,-0.006194992,0.003425716,65600,-0.051974947,0.020728667
LC8,2,autumn,686640,0.114897556,0.048269443,686640,0.00844627,0.00959779,686640,5.77E-04,0.001220573,686640,0.024237086,0.009011979,686640,0.056514313,0.026447555,686640,-0.041692572,0.02333313,686640,-0.00871302,0.007023784,686640,-0.04305856,0.022218282
LC9,2,autumn,581842,0.10979972,0.045411703,581842,0.014300023,0.00785604,581842,0.00161695,3.76E-04,581842,0.018088208,0.004950558,581842,0.067389171,0.033525441,581842,-0.055643742,0.016771272,581842,-0.01439062,0.006196846,581842,-0.039393855,0.012382632
LC10,2,autumn,599177,0.03957466,0.017492815,599177,0.009442877,0.008188292,599177,-0.002142092,0.001799647,599177,0.001288728,3.30E-04,599177,0.026492857,0.008846678,599177,0.00497081,0.006410717,599177,0.00274054,0.002271908,599177,0.00800312,0.016009494
LC11,2,autumn,726266,0.08745992,0.036522585,726266,0.018485889,0.007020109,726266,0.001080998,5.51E-04,726266,0.022661596,0.003388054,726266,0.050198125,0.037182575,726266,-0.041445619,0.01233898,726266,-0.016810736,0.0047334,726266,-0.034705307,0.00837707
LC12,2,autumn,36,0.375108336,0.307922481,36,-0.001413889,0.015986391,36,9.17E-05,2.94E-07,36,0.086391667,0.022220243,36,0.125580556,0.049443575,36,-0.005622222,0.001809025,36,0.004119444,7.22E-04,36,0.008497223,0.005822154
LC13,2,autumn,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
LC14,2,autumn,226827,0.026385034,0.011483912,226827,0.009765067,0.004109782,226827,-0.003712863,0.001265696,226827,0.001390913,3.32E-04,226827,0.018788504,0.005225496,226827,0.009744511,0.00593987,226827,-0.001317449,0.001595051,226827,9.17E-04,0.011476203
LC15,2,autumn,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
LC1,3,autumn,142980,0.103624895,0.025370219,142980,-0.008071083,0.002655227,142980,0.00105827,7.42E-04,142980,0.059876588,0.008505076,142980,0.042248455,0.019432283,142980,-0.001352422,0.002800541,142980,-0.005268853,0.001725588,142980,-0.10379858,0.019675713
LC2,3,autumn,14,0.02007857,0.031293019,14,0.054564286,0.006756518,14,0.019092857,0.002342324,14,0.081571428,0.01513833,14,0.010549999,0.016884368,14,-6.50E-04,3.26E-04,14,-0.069600001,0.011791106,14,-0.025614285,0.004703275
LC3,3,autumn,3213,0.128930937,0.041218279,3213,-0.01727395,0.01068091,3213,0.001613134,0.002001619,3213,0.122931341,0.036781014,3213,0.105261282,0.054678483,3213,-0.029192344,0.007079802,3213,-0.035002459,0.009608404,3213,-0.059927264,0.010051077
LC4,3,autumn,2829524,0.121648958,0.028878543,2829524,-0.0128713,0.003482187,2829524,0.001734779,7.72E-04,2829524,0.062488941,0.008662603,2829524,0.039345685,0.023845755,2829524,-0.026558427,0.008495241,2829524,-0.00348733,0.002333563,2829524,-0.095418968,0.016165739
LC5,3,autumn,1483726,0.107058978,0.038337119,1483726,-0.015167985,0.009064429,1483726,0.003894174,9.88E-04,1483726,0.030803842,0.005300174,1483726,0.063688301,0.043026465,1483726,-0.070449701,0.020346015,1483726,-0.001389696,0.00674203,1483726,-0.053868536,0.012080149
LC6,3,autumn,289669,0.134709981,0.042668837,289669,-0.010597622,0.008261169,289669,0.006953525,0.001591453,289669,0.059766445,0.015195502,289669,0.130751688,0.064461059,289669,-0.087724314,0.015495414,289669,-0.027315726,0.015855308,289669,-0.036155614,0.005188875
LC7,3,autumn,39118,0.109772729,0.031844429,39118,-0.003440879,0.00937891,39118,7.07E-04,3.91E-04,39118,0.013722399,0.002755668,39118,0.070825162,0.031246646,39118,-0.01324457,0.014185084,39118,0.003418621,0.005189179,39118,-0.129479212,0.037528219
LC8,3,autumn,863200,0.158718609,0.047530071,863200,-0.00743001,0.012277247,863200,0.005217089,0.0019393,863200,0.034129692,0.012012971,863200,0.082047374,0.035072339,863200,-0.070840858,0.030024665,863200,-0.003643906,0.009165575,863200,-0.079856277,0.023481928
LC9,3,autumn,978161,0.195596145,0.048041447,978161,-0.008489375,0.010723343,978161,0.002439102,4.90E-04,978161,0.028170346,0.006376144,978161,0.113134884,0.049904639,978161,-0.116357707,0.026649587,978161,-0.009218149,0.009703358,978161,-0.070157734,0.01491429
LC10,3,autumn,1067118,0.035914998,0.014108297,1067118,-0.013159004,0.010274148,1067118,0.003981644,0.001679117,1067118,7.97E-04,1.67E-04,1067118,0.023527417,0.008465742,1067118,0.008863969,0.00603456,1067118,0.006586979,0.002415607,1067118,-0.032014799,0.018438635
LC11,3,autumn,1213220,0.172093266,0.040180136,1213220,-0.01102596,0.006987514,1213220,0.003745133,7.14E-04,1213220,0.043364294,0.005538573,1213220,0.102174918,0.059216391,1213220,-0.08419162,0.016640385,1213220,-0.011165184,0.00584665,1213220,-0.06133595,0.009091308
LC12,3,autumn,10,0.06609,0.015811731,10,-0.01135,0.011718761,10,0,0,10,0.01525,9.33E-04,10,-0.01204,0.012603476,10,0,0,10,0,0,10,-0.0611,0.006825924
LC13,3,autumn,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
LC14,3,autumn,379614,0.024633638,0.010742779,379614,-0.002730015,0.005360643,379614,-5.18E-04,0.001552902,379614,0.001080805,2.57E-04,379614,0.016969058,0.00586067,379614,0.01511866,0.007632635,379614,5.34E-04,0.001940943,379614,-0.026367072,0.014242101
LC15,3,autumn,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
LC1,4,autumn,15950,0.14365847,0.030801375,15950,0.005174671,0.003940444,15950,5.17E-04,0.00181134,15950,0.056384025,0.007993465,15950,0.092261862,0.027506834,15950,2.69E-04,0.002512449,15950,-0.012808088,0.00206966,15950,-0.086362527,0.017485683
LC2,4,autumn,11,0.032799999,0.017643711,11,0.05580909,0.008951242,11,0.003409091,1.16E-04,11,0.082745456,0.032624447,11,0.145499998,0.05948576,11,-0.017472728,0.003302742,11,-0.037099999,0.002839165,11,-0.020509091,0.001811848
LC3,4,autumn,674,0.136653116,0.04057325,674,0.001821217,0.010064151,674,0.001056231,0.00216272,674,0.12769733,0.038437345,674,0.123419436,0.050542357,674,-0.021899852,0.005000214,674,-0.035353561,0.007844967,674,-0.037373591,0.007738161
LC4,4,autumn,306639,0.166300526,0.039183177,306639,9.94E-04,0.004401311,306639,2.91E-04,0.001828979,306639,0.074493237,0.012441958,306639,0.098448889,0.032039075,306639,-0.013868922,0.007489537,306639,-0.019074823,0.00386205,306639,-0.118513732,0.023734699
LC5,4,autumn,355072,0.147491079,0.042315434,355072,-6.05E-04,0.009249144,355072,0.003704831,0.001653096,355072,0.033807102,0.008639894,355072,0.090249008,0.038637057,355072,-0.049561629,0.016547617,355072,-0.016478502,0.007753243,355072,-0.068606689,0.016503161
LC6,4,autumn,91761,0.165727143,0.046999233,91761,0.007400121,0.008471817,91761,0.003015599,0.002115927,91761,0.057543828,0.015284703,91761,0.153662097,0.057064168,91761,-0.067163938,0.012784537,91761,-0.048326596,0.014068729,91761,-0.038758337,0.006234649
LC7,4,autumn,15522,0.121415127,0.033799266,15522,0.022955167,0.008187567,15522,4.45E-04,7.27E-04,15522,0.014557389,0.003477763,15522,0.087136954,0.030452444,15522,-0.008753176,0.013467341,15522,-0.009398203,0.005476696,15522,-0.124427883,0.03292984
LC8,4,autumn,282417,0.154402603,0.044850179,282417,0.003634912,0.01208382,282417,0.005131348,0.002629363,282417,0.048064608,0.018275158,282417,0.0671101,0.028678843,282417,-0.039344356,0.02919497,282417,-0.018142395,0.008669704,282417,-0.101541957,0.030042401
LC9,4,autumn,242091,0.205083128,0.048863668,242091,0.001544753,0.009672981,242091,0.001570365,6.83E-04,242091,0.038243099,0.010356896,242091,0.119182711,0.043693752,242091,-0.079542663,0.021295833,242091,-0.0240321,0.009367654,242091,-0.10106487,0.021215528
LC10,4,autumn,252144,0.041520345,0.016068798,252144,-0.014535195,0.010019617,252144,0.004204865,0.002023548,252144,8.09E-04,1.96E-04,252144,0.026136257,0.008996398,252144,0.011484874,0.006715514,252144,0.007628136,0.002817587,252144,-0.042494597,0.020647778
LC11,4,autumn,221409,0.198814911,0.042649462,221409,0.009058704,0.008547304,221409,0.001060542,0.001732955,221409,0.037349225,0.005331813,221409,0.155481318,0.045928633,221409,-0.043851494,0.013674484,221409,-0.027959153,0.005997311,221409,-0.09372343,0.016523589
LC12,4,autumn,3,0.151733331,0.001316436,3,-0.013766666,3.79E-04,3,0,0,3,0.115566663,0.013040809,3,0.107599999,0.046948668,3,0,0,3,0,0,3,-0.082900003,0.00378734
LC13,4,autumn,1,0,0,1,0.0867,0,1,-0.086900003,0,1,0,0,1,0,0,1,0.239700004,0,1,0,0,1,-0.097999997,0
LC14,4,autumn,87601,0.034187774,0.013269548,87601,-0.002662233,0.005074384,87601,-0.001517507,0.001653989,87601,0.001193105,2.56E-04,87601,0.024822521,0.007439287,87601,0.010102247,0.006967139,87601,6.92E-04,0.002017586,87601,-0.032130985,0.014376774
LC15,4,autumn,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
