LC,caribou_density,season,sens_slope_allDecShrub_count,sens_slope_allDecShrub_mean,sens_slope_allDecShrub_variance,sens_slope_allEvShrub_count,sens_slope_allEvShrub_mean,sens_slope_allEvShrub_variance,sens_slope_allForb_count,sens_slope_allForb_mean,sens_slope_allForb_variance,sens_slope_alnshr_count,sens_slope_alnshr_mean,sens_slope_alnshr_variance,sens_slope_betshr_count,sens_slope_betshr_mean,sens_slope_betshr_variance,sens_slope_graminoid_count,sens_slope_graminoid_mean,sens_slope_graminoid_variance,sens_slope_salshr_count,sens_slope_salshr_mean,sens_slope_salshr_variance,sens_slope_tmlichen_count,sens_slope_tmlichen_mean,sens_slope_tmlichen_variance
LC13,1,postcalving,1031,0.012337633,0.015394626,1031,0.002641804,0.001549452,1031,0.023523763,0.023357727,1031,-7.35E-05,6.31E-05,1031,0.006089234,0.003526803,1031,0.094351794,0.058825116,1031,-0.019871096,0.012405564,1031,0.001921436,5.52E-04
LC14,1,postcalving,1501334,0.011796384,0.006714321,1501334,0.010027591,0.006380806,1501334,-0.002611897,0.002489477,1501334,6.85E-04,2.56E-04,1501334,0.007375068,0.002731731,1501334,0.011981102,0.006096957,1501334,-0.002697971,0.001707078,1501334,0.014624995,0.011108025
LC15,1,postcalving,295,0.021735255,0.021724356,295,0.004322712,0.001254675,295,0.005113898,0.045127156,295,-4.32E-04,2.10E-04,295,0.006657288,0.003808061,295,0.180141356,0.145195617,295,-0.025278305,0.039336828,295,5.50E-04,3.57E-04
LC1,2,postcalving,203541,0.121334291,0.031459571,203541,-0.009068338,0.002998584,203541,0.001196131,0.001334277,203541,0.085732699,0.016831291,203541,0.043081207,0.019090698,203541,-0.003425392,0.002884155,203541,-0.008531186,0.001649001,203541,-0.077550695,0.015285737
LC2,2,postcalving,108,-0.094998148,0.069649536,108,0.008582407,0.00523221,108,0.012421296,0.00276038,108,0.01986574,0.079578833,108,-0.035870371,0.048430039,108,-0.030084259,0.004660043,108,-0.067894445,0.014885637,108,-0.008016667,0.001116875
LC3,2,postcalving,30304,0.041969931,0.036310325,30304,-0.021811573,0.006568784,30304,0.003550733,0.00289752,30304,0.104868763,0.052577159,30304,0.016295453,0.032117865,30304,-0.025524848,0.005252695,30304,-0.037122307,0.011959981,30304,-0.020672152,0.003911504
LC4,2,postcalving,3050921,0.10924136,0.030675623,3050921,-0.008537897,0.003210943,3050921,0.001362131,0.001050841,3050921,0.067788638,0.013580601,3050921,0.035494719,0.021314787,3050921,-0.024225347,0.007481442,3050921,-0.008509079,0.002519502,3050921,-0.074587265,0.014331397
LC5,2,postcalving,1228573,0.07925236,0.038298038,1228573,-0.008600584,0.008576769,1228573,0.00394658,0.001175217,1228573,0.032180118,0.007980074,1228573,0.059462683,0.040397311,1228573,-0.061415254,0.018022892,1228573,-0.006184984,0.007512243,1228573,-0.035679541,0.009557122
LC6,2,postcalving,560618,0.063524125,0.043226298,560618,-0.019055627,0.009111366,560618,0.00359228,0.002864388,560618,0.068952935,0.026949363,560618,0.064164204,0.058414511,560618,-0.078697124,0.015944258,560618,-0.022046024,0.020216425,560618,-0.022449527,0.003583417
LC7,2,postcalving,46538,0.099075603,0.03487303,46538,0.013069653,0.008662325,46538,2.10E-04,7.33E-04,46538,0.017288637,0.004189269,46538,0.073365942,0.032542736,46538,-0.003580867,0.014453793,46538,-0.007196929,0.005296383,46538,-0.10214639,0.033108349
LC8,2,postcalving,817473,0.141895254,0.051263083,817473,-0.00747112,0.012118499,817473,0.003128562,0.002396196,817473,0.043606164,0.0194278,817473,0.070367126,0.033305207,817473,-0.058616411,0.027401183,817473,-0.004781343,0.011646293,817473,-0.063676799,0.022073316
LC9,2,postcalving,710506,0.151518366,0.045464293,710506,0.004825558,0.008397682,710506,0.001850886,4.43E-04,710506,0.029967303,0.007600548,710506,0.088909295,0.040464732,710506,-0.090196836,0.023437571,710506,-0.014586327,0.007079888,710506,-0.054007651,0.012800195
LC10,2,postcalving,731335,0.037154551,0.017218599,731335,-0.008081775,0.010409896,731335,0.002076632,0.001977258,731335,0.001324493,3.61E-04,731335,0.025403253,0.009100114,731335,0.01344845,0.007887661,731335,0.004696853,0.002508006,731335,-0.020513931,0.019449151
LC11,2,postcalving,1116695,0.121522914,0.040318171,1116695,0.006227953,0.006156944,1116695,0.002660072,8.44E-04,1116695,0.037573639,0.005417342,1116695,0.062839488,0.042687324,1116695,-0.06357276,0.015560085,1116695,-0.015072673,0.0048332,1116695,-0.043478843,0.008089107
LC12,2,postcalving,14,0.535514296,0.327375351,14,0.056635713,0.007703183,14,0,0,14,0.106292856,0.025707006,14,0.23905714,0.058593761,14,0,0,14,0.010928571,0.001552638,14,-0.00995,9.34E-04
LC13,2,postcalving,15,0.094426664,0.124829527,15,0,0,15,0.154553333,0.063900036,15,0.035333331,0.01747822,15,0,0,15,0.141713334,0.111874415,15,0.046386667,0.03012412,15,0,0
LC14,2,postcalving,358728,0.020094106,0.010894177,358728,0.002293498,0.005237174,358728,-1.07E-04,0.001585018,358728,0.00165388,5.22E-04,358728,0.014407756,0.004904954,358728,0.016818537,0.007791952,358728,-8.13E-04,0.001724937,358728,-0.020503085,0.013692904
LC15,2,postcalving,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0219,0,1,0,0,1,0,0
LC1,3,postcalving,69874,0.139918319,0.032704435,69874,-0.019644565,0.003479813,69874,0.002937724,0.001381014,69874,0.092647225,0.015813658,69874,0.047842989,0.024366836,69874,-0.004446864,0.003221321,69874,-0.003362457,0.00219875,69874,-0.086985168,0.015536754
LC2,3,postcalving,19,0.139778945,0.026463027,19,-0.096463159,0.009902716,19,2.63E-05,0.008608646,19,0.198026315,0.089460542,19,-0.028194736,0.004285925,19,-0.026457895,0.002211875,19,0.008852631,0.012807751,19,-0.019757895,0.003279559
LC3,3,postcalving,4377,0.08292472,0.039155758,4377,-0.038342221,0.008558559,4377,-0.001014919,0.003221829,4377,0.141938314,0.048491242,4377,0.02945337,0.046057702,4377,-0.039612451,0.006517224,4377,-0.030237309,0.012953472,4377,-0.030908773,0.00556671
LC4,3,postcalving,1005627,0.154791175,0.037465001,1005627,-0.023186199,0.004902316,1005627,0.002649108,0.00137961,1005627,0.088346213,0.015432503,1005627,0.049708075,0.033134798,1005627,-0.030028378,0.008999481,1005627,-0.005302254,0.003921493,1005627,-0.102470641,0.016432635
LC5,3,postcalving,835982,0.138216337,0.043422564,835982,-0.020392869,0.010013653,835982,0.005552908,0.001663779,835982,0.030652233,0.006946321,835982,0.084982082,0.046116903,835982,-0.089076248,0.02297327,835982,0.001849591,0.012709388,835982,-0.052845755,0.011762662
LC6,3,postcalving,343478,0.108710383,0.044254329,343478,-0.028799806,0.008333386,343478,0.003568022,0.002705704,343478,0.066714455,0.021323596,343478,0.123787352,0.067039127,343478,-0.10875255,0.015804181,343478,-0.010844435,0.025911961,343478,-0.025039667,0.003600258
LC7,3,postcalving,17922,0.126345185,0.031107728,17922,-0.004095441,0.008976733,17922,0.001523759,4.86E-04,17922,0.012389309,0.002654945,17922,0.06845375,0.028007108,17922,-0.029844995,0.013172401,17922,0.007785498,0.00514783,17922,-0.127305876,0.035050029
LC8,3,postcalving,619333,0.174625929,0.048659955,619333,-0.014476265,0.012969853,619333,0.006732794,0.002494301,619333,0.035636565,0.013705595,619333,0.084085083,0.035666681,619333,-0.088363928,0.031954587,619333,0.00432138,0.013875463,619333,-0.073393538,0.020139567
LC9,3,postcalving,535867,0.217245739,0.050272673,535867,-0.010577807,0.011103217,535867,0.002932412,6.46E-04,535867,0.026598041,0.006458725,535867,0.123528385,0.052355279,535867,-0.12463733,0.027499582,535867,-0.006954825,0.01173247,535867,-0.073867935,0.015659257
LC10,3,postcalving,703263,0.03705698,0.013402371,703263,-0.007323794,0.009628423,703263,0.003985152,0.001621149,703263,6.15E-04,1.26E-04,703263,0.024123454,0.007686113,703263,0.006735577,0.005181744,703263,0.006810058,0.002397229,703263,-0.021937779,0.014998475
LC11,3,postcalving,617553,0.184686632,0.044103775,617553,-0.015109053,0.007523221,617553,0.004047753,8.15E-04,617553,0.042607863,0.005924195,617553,0.108040758,0.063261486,617553,-0.09067618,0.018538604,617553,-0.008523303,0.007484311,617553,-0.065064725,0.009872446
LC12,3,postcalving,2,0.098349996,0.020036402,2,0.066849999,0.004468922,2,0,0,2,0.04005,0.001604002,2,0.090499997,0.008190249,2,0,0,2,0,0,2,-0.124250002,0.015438063
LC13,3,postcalving,24,0,0,24,0.0036125,3.00E-04,24,0.039770834,0.021309673,24,0,0,24,0,0,24,0.063325,0.032977789,24,0.004045833,3.76E-04,24,-0.004083333,3.83E-04
LC14,3,postcalving,452077,0.014355913,0.006030996,452077,2.67E-06,0.005179013,452077,-5.88E-05,0.001065239,452077,7.24E-04,2.10E-04,452077,0.0097195,0.003119297,452077,0.00887602,0.004330805,452077,4.45E-04,0.001096947,452077,-0.008120023,0.009323165
LC15,3,postcalving,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0
LC1,4,postcalving,26805,0.118469267,0.029340915,26805,-0.026819817,0.004745682,26805,0.004257885,0.001289675,26805,0.075872826,0.012162632,26805,0.047129741,0.02825871,26805,0.002417083,0.002375214,26805,-0.002219978,0.00232767,26805,-0.079359523,0.013588175
LC2,4,postcalving,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
LC3,4,postcalving,2168,0.063651061,0.046872678,2168,-0.054540775,0.012003928,2168,2.94E-04,0.004384933,2168,0.150447786,0.063195852,2168,-0.010315636,0.052919421,2168,-0.036443727,0.006799638,2168,-0.023670849,0.013974631,2168,-0.029829243,0.005354305
LC4,4,postcalving,477172,0.145815376,0.037752654,477172,-0.025474863,0.005506013,477172,0.003721338,0.001312554,477172,0.074505649,0.012956726,477172,0.064663421,0.039553872,477172,-0.020806443,0.008526504,477172,-0.007817488,0.004486582,477172,-0.10017049,0.014864097
LC5,4,postcalving,488068,0.160504307,0.047005716,488068,-0.041243852,0.011331304,488068,0.008300249,0.002263386,488068,0.026358887,0.006423922,488068,0.116783995,0.058043238,488068,-0.096704245,0.023270889,488068,0.007330193,0.018351577,488068,-0.051666444,0.010220033
LC6,4,postcalving,202501,0.128530692,0.044847177,202501,-0.033856713,0.008963709,202501,0.006851823,0.002908664,202501,0.054044734,0.017725364,202501,0.175408291,0.084961416,202501,-0.111234286,0.013942277,202501,-0.008935337,0.030834875,202501,-0.024262212,0.00318565
LC7,4,postcalving,8033,0.119071007,0.028688848,8033,-0.031866663,0.01180224,8033,4.92E-04,4.25E-04,8033,0.012268605,0.002671963,8033,0.071957052,0.031226977,8033,-0.027639624,0.011251328,8033,0.01131698,0.005832543,8033,-0.124839437,0.030455052
LC8,4,postcalving,270618,0.193146118,0.053261007,270618,-0.041348591,0.014872902,270618,0.009560988,0.003040731,270618,0.032748248,0.014362185,270618,0.118631103,0.046412696,270618,-0.080252384,0.027721024,270618,0.010148048,0.016744583,270618,-0.076051772,0.018625743
LC9,4,postcalving,314583,0.235087812,0.053037095,314583,-0.038853017,0.012820617,314583,0.003256411,7.65E-04,314583,0.024768061,0.006114767,314583,0.159500829,0.061442942,314583,-0.111765548,0.022670792,314583,-0.005769172,0.015101575,314583,-0.07757519,0.015773814
LC10,4,postcalving,393847,0.031969525,0.012362902,393847,-0.016660011,0.009876347,393847,0.005252815,0.001659052,393847,4.88E-04,1.30E-04,393847,0.020476363,0.007406798,393847,0.006665708,0.004572375,393847,0.005941852,0.002188001,393847,-0.033124871,0.015559244
LC11,4,postcalving,378752,0.188589879,0.047031319,378752,-0.029359849,0.007962496,378752,0.0049052,0.001068371,378752,0.033791265,0.004760029,378752,0.133723833,0.0754249,378752,-0.075873026,0.016058504,378752,-0.012528295,0.009349172,378752,-0.066588259,0.009487116
LC12,4,postcalving,2,0.09905,0.009810903,2,-0.064649999,4.60E-04,2,0,0,2,0,0,2,-0.057,0.003249,2,0,0,2,0,0,2,0.058049999,0.003369802
LC13,4,postcalving,13,0,0,13,0,0,13,0.052053846,0.005826275,13,0,0,13,0,0,13,0.123253846,0.065816742,13,0,0,13,0,0
LC14,4,postcalving,209616,0.015112216,0.005916541,209616,-0.004476886,0.005769452,209616,-6.72E-05,0.001197885,209616,4.29E-04,1.24E-04,209616,0.010560919,0.003251999,209616,0.009653388,0.004819508,209616,6.94E-04,0.001070071,209616,-0.014267786,0.010805128
LC15,4,postcalving,3,0,0,3,0,0,3,-0.048566664,0.004717442,3,0,0,3,0,0,3,0.107000003,0.022898001,3,0,0,3,0,0
