LC,allDecShrub_count_0,allDecShrub_count_1,allDecShrub_count_2,allDecShrub_count_neg1,allDecShrub_count_neg2,allEvShrub_count_0,allEvShrub_count_1,allEvShrub_count_2,allEvShrub_count_neg1,allEvShrub_count_neg2,allForb_count_0,allForb_count_1,allForb_count_2,allForb_count_neg1,allForb_count_neg2,alnshr_count_0,alnshr_count_1,alnshr_count_2,alnshr_count_neg1,alnshr_count_neg2,betshr_count_0,betshr_count_1,betshr_count_2,betshr_count_neg1,betshr_count_neg2,caribou_density,graminoid_count_0,graminoid_count_1,graminoid_count_2,graminoid_count_neg1,graminoid_count_neg2,salshr_count_0,salshr_count_1,salshr_count_2,salshr_count_neg1,salshr_count_neg2,season,tmlichen_count_0,tmlichen_count_1,tmlichen_count_2,tmlichen_count_neg1,tmlichen_count_neg2
LC6,9317,22605,252,12738,51,12635,23835,142,8336,15,37926,4413,4,2604,16,21234,17022,2957,3476,274,8058,22615,1505,12513,272,4,20941,5790,79,18020,133,11127,6762,124,26106,844,rut,19291,6281,200,18568,623
LC7,5361,8561,114,5072,38,4135,12436,12,2562,1,18017,915,,214,,18173,689,135,147,2,4760,9143,119,5114,10,4,6507,6408,188,6015,28,11120,2189,57,5510,270,rut,4412,4613,33,9699,389
LC8,48967,97707,2330,57431,451,50946,109245,968,45609,118,187254,11617,173,7691,151,164288,21943,13946,5673,1036,44942,88618,5034,67427,865,4,61278,63940,3390,76512,1766,89080,35124,1250,76132,5300,rut,48787,58395,1573,85938,12193
LC9,47073,106937,1806,55221,128,52763,119205,241,38923,33,198358,9251,17,3524,15,159728,29897,13204,7026,1310,45312,95692,3424,66319,418,4,65778,48728,1132,93693,1834,106356,25210,1930,69889,7780,rut,65677,36740,223,100521,8004
LC10,44813,31891,8213,18623,855,32226,40948,347,30823,51,79825,9404,62,14885,219,103439,573,120,261,2,45916,34282,5178,18373,646,4,46736,32979,982,23404,294,65668,20872,334,17198,323,rut,27105,44654,1347,30010,1279
LC11,32124,97749,1007,26588,72,45556,94312,267,17388,17,151094,4648,2,1777,19,100617,47159,3000,6715,49,31321,89704,4074,32234,207,4,72108,33023,578,51128,703,67686,19352,524,65233,4745,rut,44995,28075,442,81306,2722
LC12,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,rut,,,,,
LC13,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,rut,,,,,
LC14,15248,6625,2134,2349,175,10519,10176,253,5578,5,21039,1695,17,3710,70,26306,155,24,46,,13024,8545,961,3918,83,4,15679,6752,140,3928,32,20933,2590,44,2796,168,rut,7815,10231,344,8000,141
LC15,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,rut,,,,,
