LC,caribou_density,season,pft,change_type,change_count
Deciduous forest,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,NA
Deciduous forest,None,autumn,Forbs,No change,85
Deciduous forest,None,autumn,Forbs,Increase,16
Deciduous forest,None,autumn,Forbs,Increase >= RMSE,NA
Deciduous forest,None,autumn,Forbs,Decrease,11
Deciduous forest,None,autumn,Forbs,|Decrease| >= RMSE,1
Deciduous forest,None,autumn,Alder,No change,40
Deciduous forest,None,autumn,Alder,Increase,31
Deciduous forest,None,autumn,Alder,Increase >= RMSE,5
Deciduous forest,None,autumn,Alder,Decrease,27
Deciduous forest,None,autumn,Alder,|Decrease| >= RMSE,10
Deciduous forest,None,autumn,Birch,No change,24
Deciduous forest,None,autumn,Birch,Increase,37
Deciduous forest,None,autumn,Birch,Increase >= RMSE,11
Deciduous forest,None,autumn,Birch,Decrease,36
Deciduous forest,None,autumn,Birch,|Decrease| >= RMSE,5
Deciduous forest,None,autumn,Graminoids,No change,76
Deciduous forest,None,autumn,Graminoids,Increase,10
Deciduous forest,None,autumn,Graminoids,Increase >= RMSE,NA
Deciduous forest,None,autumn,Graminoids,Decrease,26
Deciduous forest,None,autumn,Graminoids,|Decrease| >= RMSE,1
Deciduous forest,None,autumn,Willow,No change,24
Deciduous forest,None,autumn,Willow,Increase,27
Deciduous forest,None,autumn,Willow,Increase >= RMSE,2
Deciduous forest,None,autumn,Willow,Decrease,57
Deciduous forest,None,autumn,Willow,|Decrease| >= RMSE,3
Deciduous forest,None,autumn,Lichens,No change,52
Deciduous forest,None,autumn,Lichens,Increase,13
Deciduous forest,None,autumn,Lichens,Increase >= RMSE,1
Deciduous forest,None,autumn,Lichens,Decrease,46
Deciduous forest,None,autumn,Lichens,|Decrease| >= RMSE,1
Mixed forest,None,autumn,Deciduous shrubs,No change,1456.866667
Mixed forest,None,autumn,Deciduous shrubs,Increase,4596.921569
Mixed forest,None,autumn,Deciduous shrubs,Increase >= RMSE,96
Mixed forest,None,autumn,Deciduous shrubs,Decrease,2535.67451
Mixed forest,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,26
Mixed forest,None,autumn,Evergreen shrubs,No change,3043.541176
Mixed forest,None,autumn,Evergreen shrubs,Increase,2704.921569
Mixed forest,None,autumn,Evergreen shrubs,Increase >= RMSE,167
Mixed forest,None,autumn,Evergreen shrubs,Decrease,2786
Mixed forest,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,10
Mixed forest,None,autumn,Forbs,No change,6150.462745
Mixed forest,None,autumn,Forbs,Increase,1212
Mixed forest,None,autumn,Forbs,Increase >= RMSE,15
Mixed forest,None,autumn,Forbs,Decrease,1296
Mixed forest,None,autumn,Forbs,|Decrease| >= RMSE,38
Mixed forest,None,autumn,Alder,No change,3680.866667
Mixed forest,None,autumn,Alder,Increase,3149.596078
Mixed forest,None,autumn,Alder,Increase >= RMSE,756
Mixed forest,None,autumn,Alder,Decrease,1066
Mixed forest,None,autumn,Alder,|Decrease| >= RMSE,59
Mixed forest,None,autumn,Birch,No change,2020
Mixed forest,None,autumn,Birch,Increase,3265.921569
Mixed forest,None,autumn,Birch,Increase >= RMSE,288.8666667
Mixed forest,None,autumn,Birch,Decrease,2979.67451
Mixed forest,None,autumn,Birch,|Decrease| >= RMSE,157
Mixed forest,None,autumn,Graminoids,No change,5082
Mixed forest,None,autumn,Graminoids,Increase,1121.866667
Mixed forest,None,autumn,Graminoids,Increase >= RMSE,22
Mixed forest,None,autumn,Graminoids,Decrease,2453.596078
Mixed forest,None,autumn,Graminoids,|Decrease| >= RMSE,32
Mixed forest,None,autumn,Willow,No change,2937
Mixed forest,None,autumn,Willow,Increase,1658.541176
Mixed forest,None,autumn,Willow,Increase >= RMSE,23
Mixed forest,None,autumn,Willow,Decrease,4043.921569
Mixed forest,None,autumn,Willow,|Decrease| >= RMSE,49
Mixed forest,None,autumn,Lichens,No change,3622.866667
Mixed forest,None,autumn,Lichens,Increase,1499.596078
Mixed forest,None,autumn,Lichens,Increase >= RMSE,128
Mixed forest,None,autumn,Lichens,Decrease,3278
Mixed forest,None,autumn,Lichens,|Decrease| >= RMSE,183
Woodland,None,autumn,Deciduous shrubs,No change,1209617.106
Woodland,None,autumn,Deciduous shrubs,Increase,2028894.098
Woodland,None,autumn,Deciduous shrubs,Increase >= RMSE,145157.7843
Woodland,None,autumn,Deciduous shrubs,Decrease,865262.1725
Woodland,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,36918.5098
Woodland,None,autumn,Evergreen shrubs,No change,1766984.345
Woodland,None,autumn,Evergreen shrubs,Increase,1183791.435
Woodland,None,autumn,Evergreen shrubs,Increase >= RMSE,15222.24314
Woodland,None,autumn,Evergreen shrubs,Decrease,1318375.647
Woodland,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,1476
Woodland,None,autumn,Forbs,No change,3746190.008
Woodland,None,autumn,Forbs,Increase,257315.7922
Woodland,None,autumn,Forbs,Increase >= RMSE,4663.905882
Woodland,None,autumn,Forbs,Decrease,266792.9647
Woodland,None,autumn,Forbs,|Decrease| >= RMSE,10887
Woodland,None,autumn,Alder,No change,2342745.365
Woodland,None,autumn,Alder,Increase,1580061.784
Woodland,None,autumn,Alder,Increase >= RMSE,103229.651
Woodland,None,autumn,Alder,Decrease,258450.1373
Woodland,None,autumn,Alder,|Decrease| >= RMSE,1362.733333
Woodland,None,autumn,Birch,No change,1207251.322
Woodland,None,autumn,Birch,Increase,1603815.145
Woodland,None,autumn,Birch,Increase >= RMSE,100243.1059
Woodland,None,autumn,Birch,Decrease,1332243.933
Woodland,None,autumn,Birch,|Decrease| >= RMSE,42296.16471
Woodland,None,autumn,Graminoids,No change,3228902.51
Woodland,None,autumn,Graminoids,Increase,343134.2353
Woodland,None,autumn,Graminoids,Increase >= RMSE,8461.941176
Woodland,None,autumn,Graminoids,Decrease,667543.7922
Woodland,None,autumn,Graminoids,|Decrease| >= RMSE,37807.19216
Woodland,None,autumn,Willow,No change,2059852.671
Woodland,None,autumn,Willow,Increase,915363.8706
Woodland,None,autumn,Willow,Increase >= RMSE,2957
Woodland,None,autumn,Willow,Decrease,1302617.255
Woodland,None,autumn,Willow,|Decrease| >= RMSE,5058.87451
Woodland,None,autumn,Lichens,No change,969185.2039
Woodland,None,autumn,Lichens,Increase,888928.1647
Woodland,None,autumn,Lichens,Increase >= RMSE,21088.27843
Woodland,None,autumn,Lichens,Decrease,2292954.949
Woodland,None,autumn,Lichens,|Decrease| >= RMSE,113693.0745
Low shrub,None,autumn,Deciduous shrubs,No change,614034.0588
Low shrub,None,autumn,Deciduous shrubs,Increase,1045396.835
Low shrub,None,autumn,Deciduous shrubs,Increase >= RMSE,44303.79608
Low shrub,None,autumn,Deciduous shrubs,Decrease,671935.4784
Low shrub,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,10815.62745
Low shrub,None,autumn,Evergreen shrubs,No change,608769.2588
Low shrub,None,autumn,Evergreen shrubs,Increase,827321.698
Low shrub,None,autumn,Evergreen shrubs,Increase >= RMSE,11298.92941
Low shrub,None,autumn,Evergreen shrubs,Decrease,936626.9098
Low shrub,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,2469
Low shrub,None,autumn,Forbs,No change,1873349.376
Low shrub,None,autumn,Forbs,Increase,358262.549
Low shrub,None,autumn,Forbs,Increase >= RMSE,4541.92549
Low shrub,None,autumn,Forbs,Decrease,148188.9451
Low shrub,None,autumn,Forbs,|Decrease| >= RMSE,2143
Low shrub,None,autumn,Alder,No change,1977605.98
Low shrub,None,autumn,Alder,Increase,294296.4706
Low shrub,None,autumn,Alder,Increase >= RMSE,44274.85098
Low shrub,None,autumn,Alder,Decrease,67783.49412
Low shrub,None,autumn,Alder,|Decrease| >= RMSE,2525
Low shrub,None,autumn,Birch,No change,612921.7725
Low shrub,None,autumn,Birch,Increase,918919.0235
Low shrub,None,autumn,Birch,Increase >= RMSE,93762.88627
Low shrub,None,autumn,Birch,Decrease,725345.4863
Low shrub,None,autumn,Birch,|Decrease| >= RMSE,35536.62745
Low shrub,None,autumn,Graminoids,No change,915876.051
Low shrub,None,autumn,Graminoids,Increase,486154.5373
Low shrub,None,autumn,Graminoids,Increase >= RMSE,4036
Low shrub,None,autumn,Graminoids,Decrease,956183.4784
Low shrub,None,autumn,Graminoids,|Decrease| >= RMSE,24235.72941
Low shrub,None,autumn,Willow,No change,1015491.024
Low shrub,None,autumn,Willow,Increase,636144.9137
Low shrub,None,autumn,Willow,Increase >= RMSE,4596.623529
Low shrub,None,autumn,Willow,Decrease,724083.3176
Low shrub,None,autumn,Willow,|Decrease| >= RMSE,6169.917647
Low shrub,None,autumn,Lichens,No change,706033.0902
Low shrub,None,autumn,Lichens,Increase,586910.7176
Low shrub,None,autumn,Lichens,Increase >= RMSE,12835.83137
Low shrub,None,autumn,Lichens,Decrease,1048265.808
Low shrub,None,autumn,Lichens,|Decrease| >= RMSE,32440.34902
Tall shrub,None,autumn,Deciduous shrubs,No change,66403.62745
Tall shrub,None,autumn,Deciduous shrubs,Increase,170727.702
Tall shrub,None,autumn,Deciduous shrubs,Increase >= RMSE,3596
Tall shrub,None,autumn,Deciduous shrubs,Decrease,178070.7961
Tall shrub,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,2957.270588
Tall shrub,None,autumn,Evergreen shrubs,No change,109818
Tall shrub,None,autumn,Evergreen shrubs,Increase,157027.0588
Tall shrub,None,autumn,Evergreen shrubs,Increase >= RMSE,8006.819608
Tall shrub,None,autumn,Evergreen shrubs,Decrease,146164.5373
Tall shrub,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,738.9803922
Tall shrub,None,autumn,Forbs,No change,257107.7804
Tall shrub,None,autumn,Forbs,Increase,103694.5176
Tall shrub,None,autumn,Forbs,Increase >= RMSE,383
Tall shrub,None,autumn,Forbs,Decrease,59406.53725
Tall shrub,None,autumn,Forbs,|Decrease| >= RMSE,1163.560784
Tall shrub,None,autumn,Alder,No change,247455.1294
Tall shrub,None,autumn,Alder,Increase,111674.7176
Tall shrub,None,autumn,Alder,Increase >= RMSE,27530.34118
Tall shrub,None,autumn,Alder,Decrease,32730.75686
Tall shrub,None,autumn,Alder,|Decrease| >= RMSE,2364.45098
Tall shrub,None,autumn,Birch,No change,71982.95686
Tall shrub,None,autumn,Birch,Increase,154372.2039
Tall shrub,None,autumn,Birch,Increase >= RMSE,16070.81569
Tall shrub,None,autumn,Birch,Decrease,159332.1804
Tall shrub,None,autumn,Birch,|Decrease| >= RMSE,19997.23922
Tall shrub,None,autumn,Graminoids,No change,192098.5765
Tall shrub,None,autumn,Graminoids,Increase,54937.03529
Tall shrub,None,autumn,Graminoids,Increase >= RMSE,1503
Tall shrub,None,autumn,Graminoids,Decrease,166488.8471
Tall shrub,None,autumn,Graminoids,|Decrease| >= RMSE,6727.937255
Tall shrub,None,autumn,Willow,No change,100884.6431
Tall shrub,None,autumn,Willow,Increase,107250.8824
Tall shrub,None,autumn,Willow,Increase >= RMSE,888
Tall shrub,None,autumn,Willow,Decrease,208908.8706
Tall shrub,None,autumn,Willow,|Decrease| >= RMSE,3823
Tall shrub,None,autumn,Lichens,No change,180846.7451
Tall shrub,None,autumn,Lichens,Increase,70041.8549
Tall shrub,None,autumn,Lichens,Increase >= RMSE,5617.560784
Tall shrub,None,autumn,Lichens,Decrease,156463.1333
Tall shrub,None,autumn,Lichens,|Decrease| >= RMSE,8786.101961
Open shrubs,None,autumn,Deciduous shrubs,No change,47410.39608
Open shrubs,None,autumn,Deciduous shrubs,Increase,63593.0549
Open shrubs,None,autumn,Deciduous shrubs,Increase >= RMSE,2523.72549
Open shrubs,None,autumn,Deciduous shrubs,Decrease,43250.46667
Open shrubs,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,599
Open shrubs,None,autumn,Evergreen shrubs,No change,41944.41569
Open shrubs,None,autumn,Evergreen shrubs,Increase,62690.77647
Open shrubs,None,autumn,Evergreen shrubs,Increase >= RMSE,362
Open shrubs,None,autumn,Evergreen shrubs,Decrease,52297.45098
Open shrubs,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,82
Open shrubs,None,autumn,Forbs,No change,125718.7451
Open shrubs,None,autumn,Forbs,Increase,19036.50196
Open shrubs,None,autumn,Forbs,Increase >= RMSE,85
Open shrubs,None,autumn,Forbs,Decrease,12463.39608
Open shrubs,None,autumn,Forbs,|Decrease| >= RMSE,73
Open shrubs,None,autumn,Alder,No change,147050.6431
Open shrubs,None,autumn,Alder,Increase,7750
Open shrubs,None,autumn,Alder,Increase >= RMSE,1315
Open shrubs,None,autumn,Alder,Decrease,1225
Open shrubs,None,autumn,Alder,|Decrease| >= RMSE,36
Open shrubs,None,autumn,Birch,No change,46090.67843
Open shrubs,None,autumn,Birch,Increase,60303.03529
Open shrubs,None,autumn,Birch,Increase >= RMSE,4493.729412
Open shrubs,None,autumn,Birch,Decrease,45203.2
Open shrubs,None,autumn,Birch,|Decrease| >= RMSE,1286
Open shrubs,None,autumn,Graminoids,No change,65552.77647
Open shrubs,None,autumn,Graminoids,Increase,35496.14118
Open shrubs,None,autumn,Graminoids,Increase >= RMSE,536.7529412
Open shrubs,None,autumn,Graminoids,Decrease,54471.97255
Open shrubs,None,autumn,Graminoids,|Decrease| >= RMSE,1319
Open shrubs,None,autumn,Willow,No change,75397.30588
Open shrubs,None,autumn,Willow,Increase,39115.72157
Open shrubs,None,autumn,Willow,Increase >= RMSE,437.9921569
Open shrubs,None,autumn,Willow,Decrease,41615.62353
Open shrubs,None,autumn,Willow,|Decrease| >= RMSE,810
Open shrubs,None,autumn,Lichens,No change,44641.81569
Open shrubs,None,autumn,Lichens,Increase,44376.92157
Open shrubs,None,autumn,Lichens,Increase >= RMSE,384
Open shrubs,None,autumn,Lichens,Decrease,66743
Open shrubs,None,autumn,Lichens,|Decrease| >= RMSE,1230.905882
Herbaceous,None,autumn,Deciduous shrubs,No change,517032.051
Herbaceous,None,autumn,Deciduous shrubs,Increase,915331.3216
Herbaceous,None,autumn,Deciduous shrubs,Increase >= RMSE,53973.7098
Herbaceous,None,autumn,Deciduous shrubs,Decrease,456958.851
Herbaceous,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,10564.57647
Herbaceous,None,autumn,Evergreen shrubs,No change,506891.1961
Herbaceous,None,autumn,Evergreen shrubs,Increase,708422.9569
Herbaceous,None,autumn,Evergreen shrubs,Increase >= RMSE,15482.76078
Herbaceous,None,autumn,Evergreen shrubs,Decrease,720736.5961
Herbaceous,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,2327
Herbaceous,None,autumn,Forbs,No change,1408265.208
Herbaceous,None,autumn,Forbs,Increase,347638.4902
Herbaceous,None,autumn,Forbs,Increase >= RMSE,8613.517647
Herbaceous,None,autumn,Forbs,Decrease,184727.5725
Herbaceous,None,autumn,Forbs,|Decrease| >= RMSE,4615.721569
Herbaceous,None,autumn,Alder,No change,1737230.027
Herbaceous,None,autumn,Alder,Increase,116799.3725
Herbaceous,None,autumn,Alder,Increase >= RMSE,60707.83137
Herbaceous,None,autumn,Alder,Decrease,33983.27843
Herbaceous,None,autumn,Alder,|Decrease| >= RMSE,5140
Herbaceous,None,autumn,Birch,No change,587364.2784
Herbaceous,None,autumn,Birch,Increase,733283.1961
Herbaceous,None,autumn,Birch,Increase >= RMSE,107074.7098
Herbaceous,None,autumn,Birch,Decrease,503763.8078
Herbaceous,None,autumn,Birch,|Decrease| >= RMSE,22374.51765
Herbaceous,None,autumn,Graminoids,No change,635015.8392
Herbaceous,None,autumn,Graminoids,Increase,476374.651
Herbaceous,None,autumn,Graminoids,Increase >= RMSE,6299
Herbaceous,None,autumn,Graminoids,Decrease,819554.6275
Herbaceous,None,autumn,Graminoids,|Decrease| >= RMSE,16616.39216
Herbaceous,None,autumn,Willow,No change,791735.4275
Herbaceous,None,autumn,Willow,Increase,533942.4235
Herbaceous,None,autumn,Willow,Increase >= RMSE,5691.482353
Herbaceous,None,autumn,Willow,Decrease,613389.0235
Herbaceous,None,autumn,Willow,|Decrease| >= RMSE,9102.152941
Herbaceous,None,autumn,Lichens,No change,554009.5255
Herbaceous,None,autumn,Lichens,Increase,556431.6275
Herbaceous,None,autumn,Lichens,Increase >= RMSE,14705.72157
Herbaceous,None,autumn,Lichens,Decrease,786453.8745
Herbaceous,None,autumn,Lichens,|Decrease| >= RMSE,42259.76078
Tussock tundra,None,autumn,Deciduous shrubs,No change,284087.051
Tussock tundra,None,autumn,Deciduous shrubs,Increase,630116.6824
Tussock tundra,None,autumn,Deciduous shrubs,Increase >= RMSE,15961.48235
Tussock tundra,None,autumn,Deciduous shrubs,Decrease,327574.7294
Tussock tundra,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,1919
Tussock tundra,None,autumn,Evergreen shrubs,No change,310810.9647
Tussock tundra,None,autumn,Evergreen shrubs,Increase,469281.0824
Tussock tundra,None,autumn,Evergreen shrubs,Increase >= RMSE,3242
Tussock tundra,None,autumn,Evergreen shrubs,Decrease,474919.898
Tussock tundra,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,1405
Tussock tundra,None,autumn,Forbs,No change,984504.1922
Tussock tundra,None,autumn,Forbs,Increase,180871.349
Tussock tundra,None,autumn,Forbs,Increase >= RMSE,931
Tussock tundra,None,autumn,Forbs,Decrease,92995.40392
Tussock tundra,None,autumn,Forbs,|Decrease| >= RMSE,357
Tussock tundra,None,autumn,Alder,No change,1130472.055
Tussock tundra,None,autumn,Alder,Increase,80195.22353
Tussock tundra,None,autumn,Alder,Increase >= RMSE,27660.27843
Tussock tundra,None,autumn,Alder,Decrease,19220.38824
Tussock tundra,None,autumn,Alder,|Decrease| >= RMSE,2111
Tussock tundra,None,autumn,Birch,No change,277056.0235
Tussock tundra,None,autumn,Birch,Increase,533907.6275
Tussock tundra,None,autumn,Birch,Increase >= RMSE,37822.14118
Tussock tundra,None,autumn,Birch,Decrease,402845.4118
Tussock tundra,None,autumn,Birch,|Decrease| >= RMSE,8027.741176
Tussock tundra,None,autumn,Graminoids,No change,366669.1294
Tussock tundra,None,autumn,Graminoids,Increase,263507.0902
Tussock tundra,None,autumn,Graminoids,Increase >= RMSE,682
Tussock tundra,None,autumn,Graminoids,Decrease,618866.8392
Tussock tundra,None,autumn,Graminoids,|Decrease| >= RMSE,9933.886275
Tussock tundra,None,autumn,Willow,No change,472943.4
Tussock tundra,None,autumn,Willow,Increase,335254.9137
Tussock tundra,None,autumn,Willow,Increase >= RMSE,2728
Tussock tundra,None,autumn,Willow,Decrease,444329.0627
Tussock tundra,None,autumn,Willow,|Decrease| >= RMSE,4403.568627
Tussock tundra,None,autumn,Lichens,No change,399179.7725
Tussock tundra,None,autumn,Lichens,Increase,271369.9725
Tussock tundra,None,autumn,Lichens,Increase >= RMSE,2885
Tussock tundra,None,autumn,Lichens,Decrease,572072.3922
Tussock tundra,None,autumn,Lichens,|Decrease| >= RMSE,14151.80784
Sparsely vegetated,None,autumn,Deciduous shrubs,No change,939566.4392
Sparsely vegetated,None,autumn,Deciduous shrubs,Increase,515913.4118
Sparsely vegetated,None,autumn,Deciduous shrubs,Increase >= RMSE,147002.8627
Sparsely vegetated,None,autumn,Deciduous shrubs,Decrease,259990.3333
Sparsely vegetated,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,22196.60784
Sparsely vegetated,None,autumn,Evergreen shrubs,No change,521384.3255
Sparsely vegetated,None,autumn,Evergreen shrubs,Increase,789715.0667
Sparsely vegetated,None,autumn,Evergreen shrubs,Increase >= RMSE,12165.78039
Sparsely vegetated,None,autumn,Evergreen shrubs,Decrease,560884.4824
Sparsely vegetated,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,520
Sparsely vegetated,None,autumn,Forbs,No change,1372473.957
Sparsely vegetated,None,autumn,Forbs,Increase,244944.6157
Sparsely vegetated,None,autumn,Forbs,Increase >= RMSE,2556.803922
Sparsely vegetated,None,autumn,Forbs,Decrease,256798.4667
Sparsely vegetated,None,autumn,Forbs,|Decrease| >= RMSE,7895.811765
Sparsely vegetated,None,autumn,Alder,No change,1849643.522
Sparsely vegetated,None,autumn,Alder,Increase,26112.83922
Sparsely vegetated,None,autumn,Alder,Increase >= RMSE,5519.917647
Sparsely vegetated,None,autumn,Alder,Decrease,3378.376471
Sparsely vegetated,None,autumn,Alder,|Decrease| >= RMSE,15
Sparsely vegetated,None,autumn,Birch,No change,1005448.796
Sparsely vegetated,None,autumn,Birch,Increase,480813.5255
Sparsely vegetated,None,autumn,Birch,Increase >= RMSE,82716.20392
Sparsely vegetated,None,autumn,Birch,Decrease,303527.9059
Sparsely vegetated,None,autumn,Birch,|Decrease| >= RMSE,12163.22353
Sparsely vegetated,None,autumn,Graminoids,No change,786997.3255
Sparsely vegetated,None,autumn,Graminoids,Increase,491169.3294
Sparsely vegetated,None,autumn,Graminoids,Increase >= RMSE,8027.588235
Sparsely vegetated,None,autumn,Graminoids,Decrease,587395.5843
Sparsely vegetated,None,autumn,Graminoids,|Decrease| >= RMSE,11079.82745
Sparsely vegetated,None,autumn,Willow,No change,1111699.561
Sparsely vegetated,None,autumn,Willow,Increase,353297.8902
Sparsely vegetated,None,autumn,Willow,Increase >= RMSE,5797.666667
Sparsely vegetated,None,autumn,Willow,Decrease,406485.5373
Sparsely vegetated,None,autumn,Willow,|Decrease| >= RMSE,7389
Sparsely vegetated,None,autumn,Lichens,No change,464877.651
Sparsely vegetated,None,autumn,Lichens,Increase,763034.3137
Sparsely vegetated,None,autumn,Lichens,Increase >= RMSE,25803.12549
Sparsely vegetated,None,autumn,Lichens,Decrease,616471.7647
Sparsely vegetated,None,autumn,Lichens,|Decrease| >= RMSE,14482.8
Fen,None,autumn,Deciduous shrubs,No change,180818.7098
Fen,None,autumn,Deciduous shrubs,Increase,469744.2549
Fen,None,autumn,Deciduous shrubs,Increase >= RMSE,8244.631373
Fen,None,autumn,Deciduous shrubs,Decrease,307565.651
Fen,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,1675
Fen,None,autumn,Evergreen shrubs,No change,280444.6941
Fen,None,autumn,Evergreen shrubs,Increase,386840.3882
Fen,None,autumn,Evergreen shrubs,Increase >= RMSE,7116
Fen,None,autumn,Evergreen shrubs,Decrease,293186.1647
Fen,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,461
Fen,None,autumn,Forbs,No change,781472.2471
Fen,None,autumn,Forbs,Increase,116591.0784
Fen,None,autumn,Forbs,Increase >= RMSE,460.8901961
Fen,None,autumn,Forbs,Decrease,67777.14902
Fen,None,autumn,Forbs,|Decrease| >= RMSE,1746.882353
Fen,None,autumn,Alder,No change,713262.0667
Fen,None,autumn,Alder,Increase,206313.6745
Fen,None,autumn,Alder,Increase >= RMSE,18743.51373
Fen,None,autumn,Alder,Decrease,29549.99216
Fen,None,autumn,Alder,|Decrease| >= RMSE,179
Fen,None,autumn,Birch,No change,182007.1412
Fen,None,autumn,Birch,Increase,413417.349
Fen,None,autumn,Birch,Increase >= RMSE,31173.99608
Fen,None,autumn,Birch,Decrease,325799.8902
Fen,None,autumn,Birch,|Decrease| >= RMSE,15649.87059
Fen,None,autumn,Graminoids,No change,453265.1686
Fen,None,autumn,Graminoids,Increase,145148.2235
Fen,None,autumn,Graminoids,Increase >= RMSE,3448.580392
Fen,None,autumn,Graminoids,Decrease,338912.5137
Fen,None,autumn,Graminoids,|Decrease| >= RMSE,27273.76078
Fen,None,autumn,Willow,No change,338499.4118
Fen,None,autumn,Willow,Increase,222631.502
Fen,None,autumn,Willow,Increase >= RMSE,1176
Fen,None,autumn,Willow,Decrease,400421.3333
Fen,None,autumn,Willow,|Decrease| >= RMSE,5320
Fen,None,autumn,Lichens,No change,301108.1961
Fen,None,autumn,Lichens,Increase,210275.6941
Fen,None,autumn,Lichens,Increase >= RMSE,8679.729412
Fen,None,autumn,Lichens,Decrease,437848.9137
Fen,None,autumn,Lichens,|Decrease| >= RMSE,10135.71373
Bog,None,autumn,Deciduous shrubs,No change,78
Bog,None,autumn,Deciduous shrubs,Increase,29
Bog,None,autumn,Deciduous shrubs,Increase >= RMSE,24
Bog,None,autumn,Deciduous shrubs,Decrease,22
Bog,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,6
Bog,None,autumn,Evergreen shrubs,No change,38
Bog,None,autumn,Evergreen shrubs,Increase,72
Bog,None,autumn,Evergreen shrubs,Increase >= RMSE,6
Bog,None,autumn,Evergreen shrubs,Decrease,43
Bog,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,NA
Bog,None,autumn,Forbs,No change,116
Bog,None,autumn,Forbs,Increase,26
